Track Name,Artist,Track URL,Duration (s),Danceability,Acousticness,Energy,Liveness,Loudness (dB),Speechiness,Tempo (BPM),Popularity,Release Date,Lyrics,Language
""Creepin'"" by Metro Boomin ft. The Weeknd, 21 Savage
March 19, 2023
""Calm Down"" by Rema ft. Selena Gomez ⚡
""Fetish - Galantis Remix"" by Selena Gomez ft. Galantis ⚡
April 4, 2023
""Kalyana Vayasu"" by Anirudh Ravichander 💖
""Beast Mode"" by Anirudh Ravichander ⚡
""Vikram - Title Track"" by Anirudh Ravichander ⚡
""Mallipoo"" by A.R. Rahman ft. Madhushree
""Vaa Vaathi"" by G.V. Prakash Kumar ft. Shweta Mohan
""Yaayum"" by Shabir Sulthan ft. Naresh Iyer, Rita
April 8, 2023
""Nonsense"" by Sabrina Carpenter
""Escapism"" by RAYE ft. 070 Shake 💖
April 9, 2023
""Cupid"" by FIFTY FIFTY 💖
CHARICE
 by Charice
April 10, 2023
""December Back 2 June"" by Alicia Keys
KEYS
 by Alicia Keys 💖
April 14, 2023
""City of Gods"" by Kanye West ft. Alicia Keys, Fivio Foreign ⚡
""Un-thinkable (I'm Ready)"" by Alicia Keys ⚡
""Empire State of Mind (Part II)"" by Alicia Keys ⚡
April 16, 2023
""Kill Bill - Remix"" by SZA ft. Doja Cat 🌊
April 17, 2023
""Wasted"" by Anirudh Ravichander⚡
April 18, 2023
Thiruchitrambalam - Soundtrack
 by Anirudh Ravichander
April 19, 2023
lately i feel everything
 by WILLOW
April 22, 2023
""Buff Baby"" by Tobi Lou
""Darlin'"" by Tobi Lou
""Uncle Iroh"" by Tobi Lou
""Comfort Chain"" by 
""Way Up"" by Jaden
D-Day
 by Agust D ⚡
April 30, 2023
""Emotion"" by Molly Burch ft. Wild Nothing 💖
""I Really Fucked It Up"" by Girli 💖
""Sloppy"" by KiNG MALA ft. Upsahl
""Friday Night"" by Sobs
""Trees"" by Maude Latore
""Superfruit"" by Maude Latore
May 2, 2023
""In the Honey"" by Wafia
""Be Fine"" by Ekali ft. Wafia
""Kadhal Kaditham"" by A.R. Rahman ft. S. Janaki, Unni Menon
""Ennakoru Snehidhi"" by S.A. Rajkumar ft. Hariharan, Mahalakshmi Iyer
May 5, 2023
""I Don't Like Myself"" by Girli
""Slip!"" by Aziya ⚡
May 10, 2023
Hot Pink
 by Doja Cat ⚡
May 12, 2023
""Looped Up"" by Tobi Lou ft. VERNON 🌊
""Endorphins"" by Tobi Lou
""Payday"" by Doja Cat 🌊
May 17, 2023
""Baby, I'm Jealous"" by Bebe Rexha ft. Doja Cat ⚡
""Make That Cake"" by LunchMoney Lewis ft. Doja Cat ⚡
May 23, 2023
""Fire for You"" by Cannons 🌊
May 30, 2023
""Bite Me"" by Enhypen ⚡
""Ladio"" by A.R. Rahman ft. Nikhita Gandhi
""Spicy"" by Aespa 🌊
""Unforgiven"" by Le Sserafim 🌊
May 31, 2023
""Sparkling"" by Chung Ha 🌊
June 6, 2023
""Porkanda Singam"" by Anirudh Ravichander ft. Ravi G 💖
""""Porkanda Singam (EDM Version)"" by Anirudh Ravichander 💖
""Vaan Megam Poo Poovai"" by Ilaiyaraaja ft. K.S. Chithra
June 9, 2023
""BOYTOY"" by Halle Abadi
""Everywhere"" by Niall Horan
""Shameless"" by Camila Cabello
""Mad Love"" by Mabel
""This Love (Taylor's Version)"" by Taylor Swift
""golden hour"" by JVKE
""Hurts So Good"" by Astrid S
""Collide (Sped Up Remix) by Justine Skye ft. Tyga
""Cross Your Mind"" by Sabrina Claudio
""Hands"" by Mike Perry ft. The Vamps, Sabrina Carpenter
""Pretty Please"" by Dua Lipa
""Pretty Girls Walk"" by Big Boss Vette
""Raatan Lambiyan"" by Tanishk Bagchi ft. Jubin Nautiyal, Asees Kaur
""Tere Pyaar Mein"" by Pritam ft. Arjit Singh, Amitabh Bhattacharya, Nikhita Gandhi
""Flower"" by JISOO
June 13, 2023
""ID3"" by Rezz
June 14, 2023
""craigslist personals"" by WRENN
""tell me what you want"" by dacelynn
why am i like this??
 by girli ⚡
June 16, 2023
""Say"" by H33RA ⚡
""Passive Aggressive"" by girli 💖
""Attention"" by Doja Cat
""Bouncy"" by ATEEZ ⚡
5-STAR
 by Stray Kids
June 18, 2023
""Mainaru Vetti Katti"" by Santhosh Narayanan ft. Anirudh Ravichander, Dhee, Muthamil
June 19, 2023
""Atomic"" by Aziya ⚡
We Speak of Tides
 by Aziya
June 23, 2023
""i like u"" by Tove Lo 
""Borderline"" by Tove Lo
""The Way That I Am"" by Tove Lo
evermore
 by Taylor Swift 
June 24, 2023
""Naa Ready"" by Anirudh Ravichander ft. Thalapathy Vijay, Asal Kolaar
The World Ep. 2: OUTLAW
 by ATEEZ ⚡
Planet Her
 by Doja Cat 💖
June 29, 2023
""You Wish"" by Flyana Boss
""Princess Diana"" by Ice Spice ft. Nicki Minaj 
""Eve, Psyche & The Bluebeard's wife"" by LE SSERAFIM ⚡
""Maan Meri Jaan (Afterlife)"" by King ft. Nick Jonas
June 30, 2023
""Shy Boy"" by Carly Rae Jepsen ⚡
""vampire"" by Olivia Rodrigo💖
Dedicated Side B
 by Carly Rae Jepsen 💖
July 2, 2023
""Red Wine Supernova"" by Chappell Roan
""Bet on Me"" by ITZY
July 8, 2023
Amala (Deluxe)
 by Doja Cat ⚡
Planet Her (Deluxe)
 by Doja Cat 💖
July 10, 2023
""Tattoos"" by Reneé Rapp 💖
""Snow Angel"" by Reneé Rapp
Emotion Side B
 by Carly Rae Jepsen
Everything to Everyone (Deluxe)
 by Reneé Rapp 💖
July 15, 2023
Palo Santo (Deluxe)
 by Years & Years
July 18, 2023
""I LUV U"" by Mia Rodriguez
""Shut Up"" by Mia Rodriguez
August 1, 2023
""Kaatumalli""
""Cake"" by ITZY
August 5, 2023
""Kaavala"" by Anirudh Ravichander
""Nenjame Nenjame"" by A.R. Rahman
""Hukum"" by Anirudh Ravichander
""Ivan Edam Thaan"" by Anirudh Ravichander
My Power
guess who?
shoong!
i am
kitsch
seven
stray kids 5-star & japanese
angel
5sos
jailer
9/30/2023
spiderman
andipatti
tumbum by yemi alade
looking at me by sabrina carpenter
heaven by taemin
cake by itzy
crazy like you
SMF
single soon by selena gomez
bongos by cardi b and megan thee stallion
princess diana by ice spice ft. nicki minaj
that girl by bree runway
on my own by jaden ft. kidcudi
sad bitch bad bitch
10/1/2023
rush by Troye Sivan
10/4/2023
heroes & villains
10/7/2023
chun-li
10/8/2023
last time i saw you by nicki minaj
10/9/2023
nightcall (deluxe) byYears & Years
10/11/2023
psychofreak by camila cabello ft. WILLOW
he's not you by verite
10/26/2023
erys by jaden
sabrina carpenter singular act pt. ii",en
"Thee Thalapathy (From ""Varisu"")",Silambarasan TR,https://open.spotify.com/track/6TK7jseRCrogw9IzQYkw2h,258.0,0.674,0.567,0.907,0.259,-5.078,0.122,130.011,63,2022-12-04,"தீ
தீ
உன்ன பாத்து சிரிச்சா அத உள்ளுக்குள்ள நெருப்பாக்கு
அவமானம் கெடச்சா அதில் கிரீடம் ஒண்ண உருவாக்கு
உன்ன குத்தி உலகமே ஓரானந்தம் அடையுமே
திருப்பி அடிக்கும் போதுதான் யாரு நீன்னு புரியுமே
It's time, It's time to give it back'u மாமே
இது திருப்பி, இது திருப்பி குடுக்கும் நேரம் மாமே
It's time, It's time to give it back'u மாமே
இது திருப்பி, இது திருப்பி குடுக்கும் நேரம் மாமே, மாமே
உடஞ்சா மேகமே மா மழையை குடுக்குமே
கிழிஞ்சா விதையிலே தான் காடு பொறக்குமே
புதிய எதிரியே வா என்னை எதிர்க்கவே
பழைய எதிரிகள் என் ரசிகர் படையிலே
தீ இது தளபதி, பேர கேட்டா விசில் அடி
தீ இது தளபதி, உங்க நெஞ்சின் அதிபதி
தீ இது தளபதி, பேர கேட்டா விசில் அடி
தீ இது தளபதி, உங்க நெஞ்சின் அதிபதி
உடஞ்சா மேகமே மா மழையை குடுக்குமே
கிழிஞ்சா விதையிலே தான் காடு பொறக்குமே
புதிய எதிரியே வா என்னை எதிர்க்கவே
பழைய எதிரிகள் என் ரசிகர் படையிலே",ta
"Beast Mode (From ""Beast"")",Anirudh Ravichander,https://open.spotify.com/track/1aQ58u4guUf999iQX3J2HF,220.35,0.584,0.00105,0.847,0.333,-5.106,0.0933,170.983,62,2022-04-08,"2/1
A$AP Rocky - 
""G-Unit Rice""
Drakeo the Ruler - 
""Too Icey""
Joey Trap - 
""BIRDIES""
KILL.ZERO - 
"".:HAUNTR:.+""
koi - 
""all of that""
Luke Combs & Billy Strings - 
""The Great Divide""
MonoNeon - 
""Done with the BS""
 ft. Ledisi
Steve Aoki & Willy William - 
""Mambo""
 ft. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz
The Bloody Beetroots & Teddy Killerz - 
""Elevate""
TOBi - 
""Love Not Blood""
Victoria Monét - 
""F.U.C.K.""
Wiz Khalifa - 
""Chicken with the Cheese""
 ft. Chevy Woods & 24hrs
2/2
Ben Howard - 
""Crowhurst's Meme""
Dolly Parton - 
""5 to 9""
Indii G. - 
""Drifting""
Kito, VanJess & Channel Tres - 
""Recap""
Leslie Odom Jr. - 
""Beautiful Things Can Happen""
Luca Yupanqui - 
""V4.3, Pt. 2""
PlayThatBoiZay - 
""90'S BABY FREESTYLE""
XANAKIN SKYWOK - 
""Club Banger!""
 ft. Billy Marchiafava
youra - 
""MIMI""
2/3
03 Greedo & Wiz Khalifa - 
""Substance (We Woke Up)""
Curren$y - 
""Misty""
Drippin' So Pretty - 
""Too Sick""
Death From Above 1979 - 
""One + One""
Ghetts - 
""No Mercy""
 ft. BackRoad Gee & Pa Salieu
Ichiko Aoba - 
""アンディーヴと眠って (Asleep Among Endives)""
Jimmy Edgar - 
""NOTICE""
 ft. 24hrs
Jordin Sparks - 
""You Still Think of Me""
Julien Baker - 
""Favor""
Lauren Auder - 
""Heathen""
Moneybagg Yo - 
""Time Today""
​pluko - 
""High Hopes""
 ft. DUCKWRTH & sad alex
Stereolab - 
""Household Names""
sumika - 
""祝祭 (shukusai)""
Tkay Maidza & Yung Baby Tate - 
""KIM""
Trey Songz - 
""Brain""
Unusual Demont - 
""Pine""
YBN Almighty Jay - 
""Battling My Spirit""
YNW BSlime - 
""OTW""",en
"I'm Scared (From ""Leo"")",Anirudh Ravichander,https://open.spotify.com/track/6vPFDbyzSYWAL7r3Waa7BZ,145.641,0.83,0.00454,0.658,0.0689,-8.794,0.102,116.97,58,2023-10-27,Lyrics not found,en
Vaa Vaathi,G. V. Prakash,https://open.spotify.com/track/0cgwdBXXlPfXJXWf3wMs32,225.38,0.582,0.355,0.504,0.86,-8.423,0.05,90.899,63,2022-11-10,"ஒரு தலை காதல தந்த
இந்த தருதலை மனசுக்குள் வந்த
ஒரு தலை காதல தந்த
இந்த தருதலை மனசுக்குள் வந்த
காதலிக்க guide இல்ல
சொல்லித் தர வா வாத்தி
சேர்த்து வச்ச ஆசை எல்லாம்
அல்லி தர வா வாத்தி
என் உசுர உன் உசுர தார கை மாத்தி
அடியாத்தி இது என்ன feelu
உன்னால நான் failu
புடிக்காம ஓட்டுன reelu
இனிமே நான் உன் ஆளு
அடியாத்தி இது என்ன feelu
உன்னால நான் failu
புடிக்காம ஓட்டுன reelu
இனிமே நான் உன் ஆளு
ஏ லை லை லை லே லே லே லோ
ஏ லை லை லை லே லே லே லை லோ
ஏ லே லே லே லோ லே லே லோ
ஏலே லே லே லே லே லே லே லோ
உன் பேரு தினம் கூவும்
குயிலா ஆனேன் நா
நீ பார்க்க புதுமாரி styleah ஆனே நா
Pocketல் உன் hero பேனா ஆனே நா
மனசோரம் உன்னோட fanah ஆனே நா
கொஞ்சம் பார்க்கணும்
கைகள் கோர்க்கணும்
ஜோடி சேர்ந்து lover's
ஆக ஊற சுத்தணம்
Banduh வாசிச்சு grandah marriage
கெட்டி மேளம் எங்கும் கேட்கணும்
அடியாத்தி இது என்ன feelu
உன்னால நான் failu
புடிக்காம ஓட்டுன reelu
இனிமே நான் உன் ஆளு
அடியாத்தி இது என்ன feelu
உன்னால நான் failu
புடிக்காம ஓட்டுன reelah
இனிமே நான் உன் ஆளு
ஒரு தலை காதல தந்த
இந்த தருதலை மனசுக்குள் வந்த
ஒரு தலை காதல தந்த
இந்த தருதலை மனசுக்குள் வந்த
காதலிக்க guide இல்ல
சொல்லித் தர வா வாத்தி
சேர்த்து வச்ச ஆசை எல்லாம்
அல்லி தர வா வாத்தி
என் உசுர உன் உசுர தார கை மாத்தி
புடிக்காம ஓட்டுன reel இனிமே நான் உன் ஆளு
அடியாத்தி இது என்ன feelu
உன்னால நான் failu",ta
Jujubee,Anirudh Ravichander,https://open.spotify.com/track/4nrIa48GgXzNks6NvqVIOX,167.272,0.653,0.249,0.831,0.0755,-4.267,0.199,198.032,58,2023-07-28,Lyrics not found,en
"Ranjithame (From ""Varisu"")",Thalapathy Vijay,https://open.spotify.com/track/1LbBOhicFmu7ktJqIHCELt,287.08,0.545,0.666,0.98,0.0788,-6.464,0.129,124.96,64,2022-11-05,"கட்டு மல்லி கட்டி வெச்சா, வட்ட கருப்பு பொட்டு வெச்சா
சந்திரனில் ரெண்டு வெச்சா, சார பாம்பு இடுப்ப வெச்சா
நட்சத்திர தொட்டி வெச்சா, கரும்பு கோடு நெத்தி வெச்சா
இஞ்சி வெட்டி கன்னம் வெச்சா, இம்மாதூண்டு வெட்கம் வெச்சா
நெத்தி பொட்டில் என்ன தூக்கி பொட்டு போல வெச்சவளே
சுத்துபத்து ஊரே பாக்க கண்ணுபட்டு வந்தவளே
தெத்து பள்ளு ஓரத்துல உச்சுக்கொட்டும் நேரத்துல
பட்டுனு பாத்தியே உச்சகட்டம் தொட்டவளே
ரஞ்சிதமே, ஹே ரஞ்சிதமே
ஹே ரஞ்சிதமே, ரஞ்சிதமே மனச கலைக்கும் மந்திரமே
ரஞ்சிதமே, ரஞ்சிதமே உன்ன உதடு வலிக்க கொஞ்சணுமே
அடி ரஞ்சிதமே, ரஞ்சிதமே மனச கலைக்கும் மந்திரமே
ரஞ்சிதமே, ரஞ்சிதமே உன்ன உதடு வலிக்க கொஞ்சணுமே
நீ வந்ததும்-வந்ததும்-வந்ததும் மனசு சத்திரமே, சத்திரமே
நான் நித்திர-நித்திர-நித்திர கெடுக்கும் சித்திரமே, சித்திரமே
கட்டு மல்லி கட்டி வெச்சா, கலக்கலக்கா பொட்டு வெச்சா
சந்திரனில் ரெண்டு வெச்சா, சார பாம்பு இடுப்ப வெச்சா
வெச்ச பொட்டில் உன்னையும் தூக்கி நெத்திக்கு மத்தியில் ஒட்ட வெச்சவளே
உச்சுக்கொட்டும் நேரத்துக்குள்ள உச்சகட்டம் தொட்டவளே
ரஞ்சிதமே, ஹே ரஞ்சிதமே
♪
அலங்கார அல்லி நிலா ஆடை போட்டு நின்னாளே
அலுங்காத அத்த மக ஆட வந்தாளே
ஏய் அடைகாத்து வெச்ச முத்தம் அஞ்சு ஆறு தந்தாளே
மல ஊத்து மூலிகையா மூச்ச தந்தாளே
ஒன்னாங்க, ரெண்டாங்க எப்போ தேதி வெப்பாங்க
மூணாங்க, நாலாங்க நல்ல சேதி வெப்பாங்க
ஆமாங்க ஆமாங்க வாராங்க வாராங்க
அடி சந்தனமே, சஞ்சலமே, முத்து பெத்த ரத்தினமே
ஹே ரஞ்சிதமே, ஹே ரஞ்சிதமே
ஹே ரஞ்சிதமே, ரஞ்சிதமே மனச கலைக்கும் மந்திரமே
ரஞ்சிதமே, ரஞ்சிதமே உன்ன உதடு வலிக்க கொஞ்சணுமே
♪
இன்னா மாமா? உங்க ஆட்டத்துக்கு ஊரே ஆடுமே
அதுக்கு ஒரு அடிய போட்டு விடுவோம்
அப்படின்ற?
ஹ்ம்-ஹ்ம்
♪
ஹ்ம்-ஹ்ம்
♪
கட்டு மல்லி கட்டி வெச்சா, கலக்கலக்கா பொட்டு வெச்சா
சந்திரனில் ரெண்டு வெச்சா, சார பாம்பு இடுப்ப வெச்சா
வெச்ச பொட்டில் உன்னையும் தூக்கி நெத்திக்கு மத்தியில் ஒட்ட வெச்சவளே
உச்சுக்கொட்டும் நேரத்துக்குள்ள உச்சகட்டம் தொட்டவளே
ரஞ்சிதமே, ஹே ரஞ்சிதமே
ஹே ரஞ்சிதமே, ரஞ்சிதமே மனச கலைக்கும் மந்திரமே
ரஞ்சிதமே, ரஞ்சிதமே என்ன உதடு வலிக்க கொஞ்சணுமே
ரஞ்சிதமே, ரஞ்சிதமே மனச கலைக்கும் மந்திரமே
ரஞ்சிதமே, ரஞ்சிதமே உன்ன உதடு வலிக்க கொஞ்சணுமே
நீ வந்ததும்-வந்ததும்-வந்ததும் மனசு சத்திரமே, சத்திரமே
நான் நித்திர-நித்திர-நித்திர கெடுக்கும் சித்திரமே, சித்திரமே
ஹே ரஞ்சிதமே
ஹே ரஞ்சிதமே
ஹே ரஞ்சிதமே
ஹே ரஞ்சிதமே
♪
ஹே ரஞ்சிதமே",ta
Jimikki Ponnu,Thaman S,https://open.spotify.com/track/7fRIo7WyDxXn3r233GCcdL,224.095,0.751,0.588,0.826,0.104,-7.805,0.205,176.063,66,2022-12-24,"Aatha Aatha Kannaala Paatha
Neat Ah Neat Ah Look Ah Vitta
Beat Ah Beat Ah Vandhaale Treat Ah
Slip Aana Lip Aale Gokka Mokka
Jimikki Jimikki Jimikki Ponnu
Minukki Minukki Minukki Kannu
Varudhe Alayaatto
Walking Varu Chocolate Selayaatto
Dasuki Dasuki Dasuki Roseu
Hasuki Hasuki Hasuki Voiceu
Oorellaam Azhagaatto
Oorukkulla Angel Nadamaatto
Enna Katti Iluthava Nee Thaane
Naanu Ippo Unakkoru Fan Thaane
Enna Vandhu Orasura Shock Ula
Uyirula Thaakkura Kalavara Kol Neeye
Ekka Chakka Azhaganum Nee Thaane
Konjam Konjam Pazhaganum Naan Thaane
Un Azhaga Varaiyura Kaiyyila
Karaiyura Maiyyula Amudhatha Thelichaane
Andrange Vandhadhum Intha Nilava
Indringe Vandhadhum Antha Nilava
Inbam Pirum Pirularai Kannukkum
Vennilavu Ondrae Allava",et
Nee Singam Dhan,A.R. Rahman,https://open.spotify.com/track/0vua5LbAth2HzKqpbnVRZk,247.794,0.539,0.23,0.534,0.364,-8.31,0.0306,142.461,65,2023-03-18,Lyrics not found,en
Mallipoo,A.R. Rahman,https://open.spotify.com/track/3i7qScF9Oyp31O9bAutJez,245.365,0.715,0.196,0.654,0.0667,-7.266,0.336,175.589,65,2022-09-02,"Hello, மச்சான்
♪
மச்சான்
மச்சான்
♪
ஹே மல்லிப்பூ வச்சு வச்சு வாடுதே
அந்த வெள்ளி நிலா வந்து வந்து தேடுதே
மச்சான் எப்போ வரப்போற?
மச்சான் எப்போ வரப்போற?
பத்து தல பாம்பா வந்து முத்தம் தரப்போற
நான் ஒத்தையில தத்தளிச்சேன்
தினம் சொப்பனத்தில் மட்டும்தான் உன்ன நான் சந்திச்சான்
ஹே எப்போ வரப்போற?
மச்சான் எப்போ வரப்போற?
பத்துமட பாய வந்து சொக்கி விழப்போற
♪
வாசல பாக்குற கோலத்தக் காணோம்
வாலிய சிந்துறேன் தண்ணிய காணோம்
சோழி தேடி போனேன் காணாத தூரம்
கோட்டிக்காரி நெஞ்சில் தாளாத பாரம்
காத்திருந்து காத்திருந்து கண்ணு பூத்திடும்
ஈரமாகவும் கண்ணோரம் கப்பல் ஆடும்
(சிங் சிங் சிங் சிங்குசிக்கும்)
(சிங் சிங் சிங் சிங்குசிக்கும்)
ஹே மல்லிப்பூ வச்சு வச்சு வாடுதே
அந்த வெள்ளி நிலா வந்து வந்து தேடுதே
மச்சான் எப்போ வரப்போற?
மச்சான் எப்போ வரப்போற?
மச்சான் எப்போ வரப்போற?
பத்து தல பாம்பா பாம்பா பாம்பா
முத்தம் தரப் போற போற போற
பத்து தல பாம்பா போய் முத்தம் தரப்போற மச்சான்
ஹே, மச்சான்-மச்சான்-மச்சான்-மச்சான், மச்சான், மச்சான்
மச்சான் எப்போ போக போற?
மச்சான் எப்போ போக போற?
மச்சான் எப்போ எப்போ
மச்சான் எப்போ போக போற?
தூரமா போனது துக்கமா மாறும்
பக்கமா வாழ்வதே போதும்னு தோணும்
ஊரடாங்கும் நேரம் ஒரு ஆசை நேரம்
கோழி கூவும் போதும் தூங்கமா வேகும்
அங்கு நீயும் இங்கு நானும் என்ன வாழ்க்கையோ
போதும் போதும் சொல்லாம வந்து சேரும்
ஹே மல்லிப்பூ வச்சு வச்சு வாடுதே
அந்த வெள்ளி நிலா வந்து வந்து தேடுதே
மச்சான் எப்போ வரப்போற?
மச்சான் எப்போ வரப்போற?
உத்தரத்த பார்த்தே நானும் மக்கிவிடப் போறறேன்
அட எத்தன நாள் ஏக்கம் இது
பெரும் மூச்சில துணிக்கொடி ஆடுதே துணி காயுதே
கள்ள காதல் போல
நான் மெல்ல பேச நேரம்
சத்தம் கித்தம் கேட்டா பொய்யாக தூங்க வேணும்
மச்சான் எப்போ வரப்போற?
மச்சான் எப்போ வரப்போற?
சொல்லிக்காம வந்து என்ன சொக்க விடப் போற",ta
Tum Tum,Thaman S,https://open.spotify.com/track/4eVsmEtOgOCa3WnK0C4Cbg,228.567,0.742,0.758,0.761,0.122,-5.414,0.142,147.035,3,2021-10-25,"Một chàng trai nhà quê, chân phèn da đen vì mưa nắng bao mùa, trông khá quê mùa
Một ngày trôi của anh, khi dậy hơn 5h sáng với công việc, để kiếm thêm tiền
Sớm tối không rời, mặt đất lưng trời, từng ngày trôi dần đi vì miếng cơm bữa ăn từng ngày
Không thấy dư gì, ngoài thân xác đen xì
Vậy là anh tìm cách tiến thân, bước lên thành thị
Anh chàng nhà quê vừa lên phố biết bao người nhìn
Làm anh thấy như cực hình
Anh chàng nhà quê ngồi trên xe mắt ngó lơ
Ôi thành đô lớn ghê nhợ
Anh nhà quê vừa lên, mang mộng ước nơi thành thị rằng
Anh phải cố thành công, để mai đó anh trở về
Mong là cô người yêu, ở quê đợi anh vài năm
Để rồi khi mà anh thành công, là anh sang đón em về nhà
Anh ở quê vừa lên, anh nhà quê mới lên
Anh ở quê vừa lên anh chẳng biết gì đâu
Anh ở quê mới lên, anh nhà quê mới lên
Mang hành trang mong ước bình yên êm ấm về sau
[RAP:]
Da anh đen nhưng lòng anh trắng
Trai nhà nghèo mưa nắng da anh đen
Lên thành thị bở ngỡ và lo lắng
Ngại gì vết bẩn từ từ anh sẽ ***
Thân trai chí lớn nơi *** trường
Quyết tâm và suy nghĩ phải hướng về tương lai
Vì anh mang trong mình một lời hứa
Anh phải cố gắn để sau này không thua ai
Nghèo cho sạch rách cũng phải cho thơm",vi
"Thenmozhi (From ""Thiruchitrambalam"")",Santhosh Narayanan,https://open.spotify.com/track/1Nr46gjiP50uPsz30gYhAd,173.225,0.764,0.598,0.532,0.26,-5.979,0.0491,123.95,64,2022-07-30,Lyrics not found,en
"Megham Karukatha (From ""Thiruchitrambalam"")",Dhanush,https://open.spotify.com/track/6TQS7URegxmcb8tTNpoXzi,290.4,0.429,0.513,0.614,0.0922,-6.573,0.0709,149.966,62,2022-07-15,Lyrics not found,en
Vikram - Title Track,Anirudh Ravichander,https://open.spotify.com/track/6FQQiTpYnfc5803p84bQp1,218.823,0.638,0.174,0.842,0.126,-5.305,0.0524,169.901,63,2022-05-15,"Once upon a time
There lived a ghost...
He was going to be the killer
And feared the most
The eagle is comin
You better start runnin
His blood is rushin
Stunnin and gunnin
The eagle is comin
You better start runnin
His blood is rushin
Stunnin and gunnin
Ah-oh-oh (x8)
Once upon a time
There lived a ghost...
He was going to be the killer
And feared the most",en
Private Party,Anirudh Ravichander,https://open.spotify.com/track/5OotwkHgMpNYfsCwAOs4jP,216.774,0.861,0.182,0.886,0.0559,-5.413,0.122,124.031,53,2022-05-12,"Male: Modern rathiyae
Unna pickup-u pannidava
Nadakum nathiyae
Pudhu spotaiyum kaatidava..
Male : On the way il namma
Friendsaiyum koopidava
Full fun moodil
Oru danceaiyum potidava..
Male : Jolly uh nee vaadi
Ithu private party thaan
DJ elaam vechu
Seivom atrocity thaan..
Female : Jazz music vena
Adi namma beat thaan
Bouncer elaam thaandi
Varum little heart thaan..
Male : Ava vanthalae love uh thanthalae
Enna konalae ava cuteaanu dance aala
Female : Machanae kada vechanae
Full touch ah nae
Ipo high volt-u switch on-eh",en
Lokiverse - Background Score,Anirudh Ravichander,https://open.spotify.com/track/209pScL6fUhISxcLWkB6rf,156.33,0.64,0.302,0.86,0.109,-4.481,0.101,96.996,61,2022-07-07,Lyrics not found,en
Once Upon a Time,Anirudh Ravichander,https://open.spotify.com/track/4wCy7erulqUfFQNVaZBD9b,143.709,0.646,0.00659,0.879,0.117,-3.668,0.0823,123.849,60,2022-05-15,"Once upon a time
There lived a ghost
He was known to be a killer
And feared the most
The eagle is comin'
You better start runnin'
His blood is rushin'
Stunnin' and gunnin'
The eagle is comin'
You better start runnin'
His blood is rushin'
Stunnin' and gunnin'
Once upon a time
There lived a ghost
He was known to be a killer
And feared the most",en
"Bae (From ""Don"")",Anirudh Ravichander,https://open.spotify.com/track/5D507IC1VOAg7bKkmOblr6,242.628,0.697,0.0701,0.663,0.112,-7.246,0.0486,96.968,63,2022-02-03,"2/1
A$AP Rocky - 
""G-Unit Rice""
Drakeo the Ruler - 
""Too Icey""
Joey Trap - 
""BIRDIES""
KILL.ZERO - 
"".:HAUNTR:.+""
koi - 
""all of that""
Luke Combs & Billy Strings - 
""The Great Divide""
MonoNeon - 
""Done with the BS""
 ft. Ledisi
Steve Aoki & Willy William - 
""Mambo""
 ft. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz
The Bloody Beetroots & Teddy Killerz - 
""Elevate""
TOBi - 
""Love Not Blood""
Victoria Monét - 
""F.U.C.K.""
Wiz Khalifa - 
""Chicken with the Cheese""
 ft. Chevy Woods & 24hrs
2/2
Ben Howard - 
""Crowhurst's Meme""
Dolly Parton - 
""5 to 9""
Indii G. - 
""Drifting""
Kito, VanJess & Channel Tres - 
""Recap""
Leslie Odom Jr. - 
""Beautiful Things Can Happen""
Luca Yupanqui - 
""V4.3, Pt. 2""
PlayThatBoiZay - 
""90'S BABY FREESTYLE""
XANAKIN SKYWOK - 
""Club Banger!""
 ft. Billy Marchiafava
youra - 
""MIMI""
2/3
03 Greedo & Wiz Khalifa - 
""Substance (We Woke Up)""
Curren$y - 
""Misty""
Drippin' So Pretty - 
""Too Sick""
Death From Above 1979 - 
""One + One""
Ghetts - 
""No Mercy""
 ft. BackRoad Gee & Pa Salieu
Ichiko Aoba - 
""アンディーヴと眠って (Asleep Among Endives)""
Jimmy Edgar - 
""NOTICE""
 ft. 24hrs
Jordin Sparks - 
""You Still Think of Me""
Julien Baker - 
""Favor""
Lauren Auder - 
""Heathen""
Moneybagg Yo - 
""Time Today""
​pluko - 
""High Hopes""
 ft. DUCKWRTH & sad alex
Stereolab - 
""Household Names""
sumika - 
""祝祭 (shukusai)""
Tkay Maidza & Yung Baby Tate - 
""KIM""
Trey Songz - 
""Brain""
Unusual Demont - 
""Pine""
YBN Almighty Jay - 
""Battling My Spirit""
YNW BSlime - 
""OTW""",en
